,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.3 FDI International investment positions in the United Kingdom analysed by area & main country and by industrial activity of UK affiliates, 2017 to 2020 (Directional)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,£ million,,,,,,,,,,,,,,,,,,,
,, ,, ,"Agriculture, forest & fishing",Mining & quarrying,"Food products, beverages & tobacco products",Textiles & wood activities,"Petroleum, chemicals, pharmaceuticals, rubber, plastic products",Metal and machinery products,"Computer, electronic and optical products",Transport equipment,Other manufacturing,"Electricity, gas, water and waste",Construction,"Retail & wholesale trade, repair of motor vehicles & motor cycles,",Transportation & storage,Information and communication,Financial services,"Professional, scientific & technical services",Administrative and support service activities,Other services,Total,,,,,,,,,,,,,,,,,,,
,,NORWAY,66,2017,84,..,103,49,10,223,..,-,14,..,9,100,865,..,21,"1,229",..,14,"7,503",,,,,,,,,,,,,,,,,,,
,, ,67,2018,..,..,..,50,..,187,..,..,3,..,3,84,812,..,30,..,67,..,"8,274",,,,,,,,,,,,,,,,,,,
,,,,2019,..,"5,740",..,..,8,180,18,..,16,..,..,100,..,..,20,..,63,9,"8,540",,,,,,,,,,,,,,,,,,,
,, ,68,2020,125,..,103,41,..,183,..,..,22,..,..,166,182,66,701,..,..,20,"8,363",,,,,,,,,,,,,,,,,,,
,,SWITZERLAND,70,2017,..,..,..,64,556,204,..,234,462,12,41,"2,717",103,847,"60,820",588,94,201,"64,748",,,,,,,,,,,,,,,,,,,
,, ,71,2018,..,..,"2,563",51,425,168,165,..,627,..,..,"2,514",601,"1,489","48,535",..,..,133,"62,928",,,,,,,,,,,,,,,,,,,
,,,,2019,..,50,"2,046",31,857,..,186,..,424,10,..,"2,141",558,288,"52,331",..,-114,171,"82,707",,,,,,,,,,,,,,,,,,,
,, ,72,2020,443,..,"1,100",137,806,..,310,..,779,15,..,"4,507",501,546,"61,524",..,..,369,"91,717",,,,,,,,,,,,,,,,,,,
,OTHER        ,,74,2017,..,"1,113",..,196,"1,015",-189,323,290,508,..,"1,628","2,543","1,560",..,"48,859","38,039",..,"4,493","116,093",,,,,,,,,,,,,,,,,,,
,EUROPEAN,,75,2018,192,"1,938",..,227,..,-207,..,436,350,"2,847","2,821","3,972","2,114",..,"44,892","45,291",..,"10,532","134,556",,,,,,,,,,,,,,,,,,,
,COUNTRIES,,,2019,187,"2,430",..,..,881,..,161,283,329,..,"1,999","3,229",..,..,"42,034","18,256",-432,"8,189","101,489",,,,,,,,,,,,,,,,,,,
,of which,,76,2020,..,..,"1,437",332,..,..,..,430,416,..,"3,777","5,445",-108,"15,644","58,801","46,083","1,704","15,214","169,573",,,,,,,,,,,,,,,,,,,
,,RUSSIA,78,2017,..,-,-,-,..,-,-,-,-,-,-,..,..,-,859,8,-,-,893,,,,,,,,,,,,,,,,,,,
,, ,79,2018,-,-,-,-,-,-,-,-,-,-,-,7,..,-,694,..,-,-,704,,,,,,,,,,,,,,,,,,,
,,,,2019,-,-,-,-,-,-,-,-,-,-,-,6,..,-,646,..,..,..,660,,,,,,,,,,,,,,,,,,,
,, ,80,2020,-,-,-,..,..,-,-,-,..,-,-,..,-,1,722,5,..,..,681,,,,,,,,,,,,,,,,,,,
,,UK OFFSHORE,82,2017,..,"1,113",..,182,"1,002",-192,322,290,510,"3,130","1,618","2,331","1,552",..,"47,964","37,788",..,"4,393","114,504",,,,,,,,,,,,,,,,,,,
,,ISLANDS,83,2018,192,"1,938",..,213,..,-209,..,436,349,"2,843","2,788","3,958","2,102",..,"44,327","45,281",..,"10,467","133,698",,,,,,,,,,,,,,,,,,,
,,,,2019,187,"2,430",..,..,879,266,161,282,327,"4,868","1,970","3,269",..,..,"41,370","18,247",-444,"8,144","100,621",,,,,,,,,,,,,,,,,,,
,, ,84,2020,373,"2,079","1,434",307,..,541,..,430,394,"10,191","3,711","5,456",-117,"15,594","57,858","46,047","1,536","15,126","168,104",,,,,,,,,,,,,,,,,,,
THE AMERICAS            ,,,86,2017,82,"15,721","46,496","2,695","17,627","6,510","7,173","1,454","2,889","6,693",586,"41,138",972,"40,944","210,552","16,782","7,904","26,624","456,586",,,,,,,,,,,,,,,,,,,
,, ,87,2018,77,"17,757","43,028","1,859","14,143","6,796","7,193","5,821","3,735","3,853",914,"46,615","2,633","114,656","204,926","23,929","21,498","47,951","571,544",,,,,,,,,,,,,,,,,,,
,,,,2019,73,"18,512","35,882","1,916","14,487","10,573","4,298","5,669","8,132","12,051",..,"42,086",..,"63,697","221,564","46,277","11,931","43,677","604,278",,,,,,,,,,,,,,,,,,,
,of which,,88,2020,198,"15,045","30,401","2,361","16,689","31,549","3,142","10,388","-1,921","19,102","1,145","57,580",317,"71,982","295,467","74,212","15,384","48,810","696,889",,,,,,,,,,,,,,,,,,,
,,BRAZIL,90,2017,-,-,-,-,..,-,-,-,..,-,-,..,..,..,6,1,..,-,..,,,,,,,,,,,,,,,,,,,
